scenario,tcp_avg_bw_Mbps,tcp_fairness,tcp_avg_retrans,udp_avg_bw_Mbps,udp_avg_lost_pct,udp_avg_jitter_ms,client_bw,bottleneck_bw,server_bw
bw3Mbps_multiflow_10_RED,0.2825851965839707,0.9857816358449568,57.53333333333333,4.340869743750971,93.04838095238095,3.919386330705743,18.92908678362573,1.9325936536129102,0.04808410732898538
bw3Mbps_multiflow_10_RED_BBR,0.2840960653958835,0.8381486324118774,125.96666666666665,4.608171094996156,93.5923384240967,9.901672158592232,20.933608148148142,1.9868382087542085,0.056258461538461535
bw3Mbps_multiflow_10_pfifo,0.2737705318684846,0.877807489125853,8.9,5.062034953443227,87.99915091836705,63.41644377856582,20.325290549450546,2.0618642986425333,0.05858854014262709
bw3Mbps_multiflow_10_pfifo_BBR,0.27416978317864266,0.9709585778210971,18.333333333333332,4.883877539313178,84.66084661238001,3.286152042457178,20.42559854251012,1.8942276262626265,0.03881210166177907
bw3Mbps_multiflow_RED,0.5676935532961128,0.9868064943742557,41.26666666666667,8.605501076666982,93.03504836162459,3.6926922660542107,21.251693964646464,2.3180067089947087,0.05041842288430524
bw3Mbps_multiflow_pfifo,0.5620021764435287,0.9380627334417967,13.666666666666666,9.082583972236858,91.68325023517741,3.3295806350720905,19.201110965250965,2.2127793394681197,0.043841840962220595
bw3Mbps_oneflow_RED,2.841841996191851,1.0,65.66666666666667,41.119650348153094,92.98970294558552,3.5736418043307716,19.17311666666667,2.615035056446821,0.04172499999999999
bw3Mbps_oneflow_pfifo,2.862785876563016,1.0,0.0,41.201258172185895,30.16729484890564,0.08817798638668234,17.716202968641117,1.7659876885581227,0.03327506414250336
bwNORMAL_multiflow_10_RED,3.153118032805285,0.9871209864574285,61.06666666666666,3.3572306799169684,0.9734619168757034,3.7968489074546086,18.867706709369916,22.04851751578474,0.5040831578069628
bwNORMAL_multiflow_10_RED_BBR,11.762389749985763,0.9873027647414835,1672.5666666666666,4.0816437123019496,0.9678342758581477,3.552947047252285,75.87167923809523,57.85728372093023,1.7334406837606835
bwNORMAL_multiflow_10_pfifo,3.180490977708684,0.9813022572021305,63.53333333333333,3.9285780310589486,1.3383140682093284,3.4523993373987394,30.81270787301587,24.15068016161616,0.5164664444444445
bwNORMAL_multiflow_10_pfifo_BBR,11.915255911735215,0.9909039952544237,1747.7666666666664,4.025759638224636,1.0217689384916837,4.293741121888889,74.91217403174606,56.965192718502855,1.7237621196581197
bwNORMAL_multiflow_RED,3.1868836028479794,0.9907945781826374,83.33333333333333,7.8490484085512335,1.060617852558704,3.3984990019485406,19.109409166666666,17.3626043697479,0.28158082616445784
bwNORMAL_multiflow_pfifo,3.4644889130045233,0.9831970089443361,93.33333333333333,7.211116870195639,1.0253496624825922,3.6131941109905914,18.67942521739131,17.019133729225025,0.308500474824976
bwNORMAL_oneflow_RED,105.45265017769708,1.0,47.0,37.45495497459094,0.0,0.39317456367708953,64.36263450980393,52.03317918699187,0.18957477477477483
bwNORMAL_oneflow_pfifo,117.99703236984654,1.0,77.33333333333333,39.911933114863906,0.0,0.36791279009144057,77.23415655913978,72.56665166666666,0.2510241666666666
