scenario,gap_avg_ms,ack_interval_avg_ms,ss_avg_rtt_ms,ss_avg_cwnd,n_pcaps
bw3Mbps_multiflow_10_RED,5.07438641165556,8.996107906976377,117.59926947693639,0.004277178487868673,9
bw3Mbps_multiflow_10_RED_BBR,4.129489920445887,7.743181604029007,88.76566268321407,0.007804979025388028,9
bw3Mbps_multiflow_10_pfifo,5.399882039054404,9.191812130227627,946.7389335668605,0.027377250234121273,9
bw3Mbps_multiflow_10_pfifo_BBR,6.167470573583027,11.094736042480164,435.64308408718534,0.01368358532861245,9
bw3Mbps_multiflow_RED,3.895309752361005,7.7383813456789055,82.45230307488171,0.005663820364017633,9
bw3Mbps_multiflow_pfifo,5.503208413793659,10.176587687285119,253.10121814969742,0.014211932933272947,9
bw3Mbps_oneflow_RED,3.9287178370826266,8.228816481664616,17.027569980506822,0.007711702759502924,9
bw3Mbps_oneflow_pfifo,11.669153255798788,19.839237994759152,471.6825126876046,0.10648171524105628,9
bwNORMAL_multiflow_10_RED,0.6286728250530654,1.0129340431875289,45.51533053093331,0.009883674233229047,9
bwNORMAL_multiflow_10_RED_BBR,0.17938383004306266,0.3135210820030068,67.20596371202349,0.09523245379743518,9
bwNORMAL_multiflow_10_pfifo,0.612951498727858,0.9899527845871413,46.450165128664565,0.012991872597568302,9
bwNORMAL_multiflow_10_pfifo_BBR,0.17937060809768465,0.3138141509118075,68.4469998594974,0.0999132044512236,9
bwNORMAL_multiflow_RED,0.7642196672634743,1.511996122187261,47.60272425979741,0.010418636485042735,9
bwNORMAL_multiflow_pfifo,0.7053237181332376,1.3821909149765126,46.91441456582633,0.011622158843834033,9
bwNORMAL_oneflow_RED,1.3047126630102233,2.2098696805403537,17.53076363636364,0.0967330531881313,9
bwNORMAL_oneflow_pfifo,0.6694565500185492,1.3692588991606287,16.011536561264823,0.12551690907032279,9
